Date,Month,Year,SiteNumber,SiteName,Length_meters,Treatment,Time,WaterElevation,Weather,WaterTemp,Visibility_feet,Visibility_meters,SurveyMethod,VideoOrObserver,LFRcount,WRcount,SRcount,FRcount,Troutcount,AdultPredatorFish,OtherJuvenileFish,Comments,Calculated Flow
8/17/2016,8,2016,209,Anderson River Park,325,Impact,9:45,,1,69,4,1.219140506,Snorkel Downstream,Video,0,0,0,0,0,0,0,Kayak survey too much vegetation 82 Bass,10521
5/16/2018,5,2018,209,Anderson River Park,325,Baseline,10:20,,2,54,10,3.047851265,snorkel downstream,observer,9,0,0,0,0,0,2,ARP Upstream inlet phase 1  2 PM,9226
5/16/2018,5,2018,209,Anderson River Park,325,Baseline,11:00,,2,56,7,2.133495885,snorkel downstream,observer,0,0,0,0,0,0,0,ARP Downstream mouth phase 1,9226
5/30/2018,5,2018,209,Anderson River Park,325,Baseline,10:15,,1,56,10,3.047851265,snorkel downstream,observer,0,0,0,0,2,0,2,2PKM,9516
6/25/2018,6,2018,209,Anderson River Park,325,Baseline,11:28,,1,58,10,3.047851265,snorkel downstream,observer,10,0,0,10,8,0,210,Temp taken in channel  10 PM  200 small minnows,12063
7/11/2018,7,2018,209,Anderson River Park,325,Baseline,11:30,,1,55,12,3.657421518,snorkel downstream,observer,11,0,0,20,22,0,0,,12994
7/23/2018,7,2018,209,Anderson River Park,325,Baseline,10:14,,1,56,12,3.657421518,snorkel downstream,observer,0,0,0,20,15,0,50,50 HH,13070
8/9/2018,8,2018,209,Anderson River Park,325,Baseline,10:40,,3,57,12,3.657421518,snorkel downstream,observer,0,0,0,8,35,0,0,,11199
9/5/2018,9,2018,209,Anderson River Park,325,Baseline,11:20,,1,57,12,3.657421518,snorkel downstream,observer,0,0,0,0,22,0,0,,8714
9/18/2018,9,2018,209,Anderson River Park,325,Baseline,10:40,,1,55,12,3.657421518,snorkel downstream,observer,0,0,0,0,28,0,0,,8019
10/3/2018,10,2018,209,Anderson River Park,325,Baseline,10:25,,2,54,12,3.657421518,snorkel downstream,observer,60,0,0,0,2,0,35,PM  TSS,7269
10/17/2018,10,2018,209,Anderson River Park,325,Baseline,11:41,,1,56,10,3.047851265,snorkel downstream,observer,25,100,0,0,0,0,10,10 TSS,7298
10/30/2018,10,2018,209,Anderson River Park,325,Control,12:20,,1,54,10,3.047851265,snorkel downstream,observer,78,29,0,2,75,0,0,1 adult FR salmon,6004
12/8/2015,12,2015,204,Bourbon,301,Control,14:17,,3,53,5,1.523925632,snorkel downstream,observer,0,4,0,0,15,0,0,,4260
12/15/2015,12,2015,204,Bourbon,301,Control,11:15,,1,52,4,1.219140506,snorkel upstream,observer,0,0,0,2,11,0,3,lamprey  sculpin  tts,4220
2/1/2016,2,2016,204,Bourbon,301,Control,12:25,,1,48,5,1.523925632,snorkel downstream,video,0,0,0,0,0,0,0,,3290
2/1/2016,2,2016,204,Bourbon,301,Control,13:04,,1,48,5,1.523925632,snorkel downstream,video,0,0,0,0,0,0,0,,3290
2/25/2016,2,2016,204,Bourbon,301,Control,12:32,,1,51,4,1.219140506,snorkel downstream,observer,0,2,0,45,0,0,0,,3270
3/2/2016,3,2016,204,Bourbon,301,Control,11:25,,2,49,10,3.047851265,snorkel downstream,observer,0,0,0,35,1,0,1,1 Sac sucker,3280
4/12/2016,4,2016,204,Bourbon,301,Control,12:50,,4,52,7,2.133495885,snorkel downstream,observer,10,0,0,429,100,0,0,,5070
4/21/2016,4,2016,204,Bourbon,301,Control,14:00,,2,59,6,1.828710759,snorkel downstream,observer,0,0,0,445,53,0,0,,5040
4/25/2016,4,2016,204,Bourbon,301,Control,10:45,,1,55,5,1.523925632,snorkel downstream,observer,55,0,0,290,35,0,7,7 TSS ,5040
5/3/2016,5,2016,204,Bourbon,301,Control,13:15,,2,58,6,1.828710759,snorkel downstream,observer,0,0,0,260,69,1,1,1 adult pikeminnow  1 sac sucker,5550
6/8/2016,6,2016,204,Bourbon,301,Control,13:50,,2,58,6,1.828710759,snorkel downstream,observer,475,0,0,840,98,0,2,2 TSS,8050
6/29/2016,6,2016,204,Bourbon,301,Control,9:55,,1,53,3.5,1.066747943,snorkel downstream,observer,0,0,0,0,150,0,0,,9010
7/28/2016,7,2016,204,Bourbon,301,Control,11:15,,1,54,5.5,1.676318196,Snorkel Downstream,Observer,0,0,0,0,84,0,0,,10554
8/15/2016,8,2016,204,Bourbon,301,Control,10:45,,1,53,5,1.523925632,Snorkel Downstream,Observer,5,0,0,0,50,0,1,1 TSS,10530
8/23/2016,8,2016,204,Bourbon,301,Control,12:20,,1,54,7,2.133495885,Snorkel Downstream,Observer,17,0,0,0,24,0,0,,10513
9/8/2016,9,2016,204,Bourbon,301,Control,13:55,,1,55,8,2.438281012,Snorkel Downstream,Observer,18,1,0,0,35,0,0,,9546
9/15/2016,9,2016,204,Bourbon,301,Control,13:00,,1,55,10,3.047851265,Snorkel Downstream,Observer,0,1,0,65,188,1,5,1 adult PM  5 HH,9041
9/27/2016,9,2016,204,Bourbon,301,Control,12:00,,1,52,10,3.047851265,Snorkel Downstream,Observer,82,2,0,1,40,10,0,10 adult RT,7975
10/11/2016,10,2016,204,Bourbon,301,Control,11:20,,1,54,10,3.047851265,Snorkel Downstream,Observer,0,8,0,115,116,0,0,1 adult female FR salmon,7012
10/27/2016,10,2016,204,Bourbon,301,Control,12:00,,4,53,6,1.828710759,Snorkel Downstream,Observer,1,0,0,45,86,0,0,1 adult trout,5535
11/17/2016,11,2016,204,Bourbon,301,Control,13:06,,1,54,9,2.743066138,Snorkel Downstream,Observer,0,0,0,0,87,0,0,,5040
11/29/2016,11,2016,204,Bourbon,301,Control,13:30,,1,53,9,2.743066138,Snorkel Downstream,Observer,1,0,0,0,62,0,0,,5035
12/20/2016,12,2016,204,Bourbon,301,Control,13:40,,3,51,10,3.047851265,Snorkel Downstream,Observer,1,1,0,1,19,0,0,1 adult trout,5072
6/19/2017,6,2017,204,Bourbon,301,Control,11:25,,2,52,5,1.523925632,snorkel downstream,observer,0,0,0,10,53,0,4,4 STB,10303
6/19/2017,6,2017,204,Bourbon,301,Control,10:30,,1,54,4,1.219140506,snorkel downstream,observer,10,0,0,4,131,0,5,1 BASS  2 TSS  2PM,10303
7/12/2017,7,2017,204,Bourbon,301,Control,13:45,1.4,1,52,6,1.828710759,snorkel downstream,observer,0,0,0,0,100,0,0,,10394
7/25/2017,7,2017,204,Bourbon,301,Control,9:45,1.4,1,52,5,1.523925632,snorkel downstream,observer,0,0,0,0,120,0,0,,10666
8/10/2017,8,2017,204,Bourbon,301,Control,13:05,15,1,54,7.5,2.285888449,snorkel downstream,observer,0,0,0,0,79,0,0,1 adult RT,10509
8/24/2017,8,2017,204,Bourbon,301,Control,13:00,,1,55,5,1.523925632,snorkel downstream,observer,5,0,0,0,59,0,0,,10644
9/5/2017,9,2017,204,Bourbon,301,Control,10:00,14,1,53,8,2.438281012,snorkel downstream,observer,0,0,0,0,45,0,0,,9114
9/19/2017,9,2017,204,Bourbon,301,Control,10:10,,1,52,5.5,1.676318196,snorkel downstream,observer,0,0,0,0,2,0,0,adult rainbow,9042
10/4/2017,10,2017,204,Bourbon,301,Control,11:40,,1,51,12,3.657421518,snorkel downstream,observer,0,1,0,0,1,0,1,1 Sculpin mort,7924
10/17/2017,10,2017,204,Bourbon,301,Control,9:55,1,1,51,10,3.047851265,snorkel downstream,observer,0,0,0,0,69,0,0,,8026
11/2/2017,11,2017,204,Bourbon,301,Control,11:00,13,3,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,33,0,0,,8075
11/14/2017,11,2017,204,Bourbon,301,Control,11:00,9,1,53,10,3.047851265,snorkel downstream,observer,0,0,0,0,16,0,0,8 trout are adults,5383
11/28/2017,11,2017,204,Bourbon,301,Control,10:00,9,2,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,15,0,0,,5000
12/15/2017,12,2017,204,Bourbon,301,Control,10:45,9,3,51,10,3.047851265,snorkel downstream,observer,0,0,0,0,17,0,1,1 sculpin,5030
12/26/2017,12,2017,204,Bourbon,301,Control,10:00,9,2,50,10,3.047851265,snorkel downstream,observer,25,27,0,0,40,0,4,4 sculpin,5072
1/11/2018,1,2018,204,Bourbon,301,Control,11:15,7,3,51,10,3.047851265,snorkel downstream,observer,36,2,0,0,24,0,0,,4088
1/22/2018,1,2018,204,Bourbon,301,Control,10:00,8,3,50,10,3.047851265,snorkel downstream,observer,0,15,0,0,0,0,0,,4052
2/7/2018,2,2018,204,Bourbon,301,Control,11:15,,1,50,10,3.047851265,snorkel downstream,observer,0,41,48,85,0,0,0,,4010
2/21/2018,2,2018,204,Bourbon,301,Control,10:35,6.5,1,48,10,3.047851265,snorkel downstream,observer,0,96,0,988,2,0,0,,3246
3/5/2018,3,2018,204,Bourbon,301,Control,10:14,,1,48,10,3.047851265,snorkel downstream,observer,0,10,0,165,0,0,0,,3255
3/22/2018,3,2018,204,Bourbon,301,Control,11:50,6,3,50,5,1.523925632,snorkel downstream,observer,0,0,0,137,0,0,0,,3201
4/4/2018,4,2018,204,Bourbon,301,Control,12:40,0.5,3,52,9,2.743066138,snorkel downstream,observer,0,0,0,0,6,0,0,,3258
4/17/2018,4,2018,204,Bourbon,301,Control,12:30,,1,50,10,3.047851265,snorkel downstream,observer,0,105,0,215,31,0,0,,3285
4/30/2018,4,2018,204,Bourbon,301,Control,11:24,,1,54,10,3.047851265,snorkel downstream,observer,1,11,0,497,2,0,0,,7058
