record_id,author,year,title,type,journal,volume,issue,firstpage,lastpage,abstract,database,species,country,state,locality,latitude,longitude,research_type,ecosystem,biome,focus,hypothesis,superior_character,trophic_level
3,"Abhilasha, D.; Joshi, J.",2009,"Enhanced fitness due to higher fecundity, increased defence against a specialist and tolerance towards a generalist herbivore in an invasive annual plant",journal,JOURNAL OF PLANT ECOLOGY-UK,2,2,77,86,,Web of Science,Conyza canadensis;Arion lusitanicus;Uroleucon erigeronense,Switzerland,Zürich,University of Zürich,47.55,8.6167,Greenhouse;Garden,terrestrial,,Invasion Hyp.,Enemy Release;Evolution of Increased Competitive Ability;Novel Weapons;Preadaptation to Climate,,primary;herbivore
4,"Abhilasha, Dipti; Quintana, Naira; Vivanco, Jorge; Joshi, Jasmin",2008,Do allelopathic compounds in invasive Solidago canadensis s.l. restrain the native European flora?,journal,JOURNAL OF ECOLOGY,96,5,993,1001,"1. One mechanism explaining the success of invasive weeds may be the production and release of allelopathic compounds by the invader that, due to a lack of co-evolutionary history, have harmful effects on plant neighbours in the introduced range. 2. We partially tested this hypothesis by growing seven competing native European plant species either with the introduced Solidago canadensis s.l., one of the most successful invasive plants in Europe or on soil pre-cultivated with S. canadensis. We added activated carbon to the soil to neutralize organic chemical compounds with putative allelopathic effects. Furthermore, we added unsterilized soil inocula from the introduced (Switzerland) or native (USA) range to the soil to test potential confounding effects of soil microbes on invasion success. Untreated sterilized soil served as control. 3. Five out of the seven native species were more competitive against the invasive species in soils with activated carbon than without, supporting the allelopathy hypothesis. However, competitive outcomes were also influenced by the two sources of soil inoculum and by interactive effects of soil inoculum and Solidago origin suggesting that soil microbes alter allelopathic effects. 4. Achillea millefolium, the species least affected by the presence of S. canadensis and with no response to the activated carbon treatment is the only species used in this experiment reported to grow within Solidago stands in Europe, whereas the other European species tested tend to grow at the periphery of invasive Solidago stands. 5. Chemical analysis by LC-MS of Solidago root extracts revealed four main secondary chemical compounds with potential allelopathic effects. Root exudates of Solidago showed a significant inhibitory effect on growth of the model plant species Arabidopsis thaliana. The magnitude of inhibition increased with increasing concentration of the extract. Synthesis. Levels of the four compounds were lower in Solidago populations from the invasive range than in populations of the same ploidy level from the native range. This suggests lower investment of invasive plants into these secondary compounds, possibly because of a higher susceptibility of plant competitors in the invasive range to these substances.",Web of Science,Solidago canadensis,Switzerland,Zürich,University of Zürich,47.55,8.6167,Greenhouse;Garden,terrestrial,,Impacts;Invasion Hyp.,Novel Weapons,,primary
5,"Adams, Jonathan M.; Fang, Wei; Callaway, Ragan M.; Cipollini, Don; Newell, Elizabeth",2009,A cross-continental test of the Enemy Release Hypothesis: leaf herbivory on Acer platanoides (L.) is three times lower in North America than in its native Europe,journal,BIOLOGICAL INVASIONS,11,4,1005,1016,"Acer platanoides (Norway maple) is a widespread native tree species in Europe. It has been introduced to North America where it has often established dense stands in both secondary woodlands and relatively undisturbed mature woodlands. In Europe A. platanoides is also extending its original range, but generally seems to exist at much lower densities. One explanation for the 'aggressiveness' of invasive plants such as A. platanoides is that they have left behind pests and diseases which limit their population densities in their native lands (the enemy release hypothesis or ERH). To assess the ERH for Norway maple, a large network of collaborators assessed leaf herbivory rates in populations throughout Europe and North America. We found significantly lower total leaf herbivory (1.6% +/- A 0.19, n = 21 vs. 7.4% +/- A 1.94, n = 34) and lower fungal damage (1.0% +/- A 0.35, n = 13 vs. 3.7% +/- A 0.85, n = 34) in North America than in Europe over a 2 year period, which is consistent with the predictions of the Enemy Release Hypothesis. Across years, the average total leaf herbivory was significantly correlated with average annual temperature of the site (P < 0.05), although this was mostly due to sites in Europe (P < 0.001), and not sites in North America (P > 0.05). Furthermore, only populations in Europe showed very high levels of herbivory (e.g., nine sites had total leaf herbivory ranging from 10.0 to 51.2% in at least 1 year) or leaf fungal damage (only one site in North America showed high levels of fungal damage in 1 year), suggesting the possibility of more frequent episodic outbreaks in the native range. Leaf herbivory and fungal damage are only two aspects of consumer pressure and we do not know whether the differences reported here are enough to actually elicit release from top-down population control, but such large scale biogeographic differences in herbivory contribute towards understanding exotic invasions.",Web of Science,Acer platanoides,,,"Europe, North America",,,Field - Observational,terrestrial,Deciduous Forest,Invasion Hyp.,Enemy Release,,primary
6,"Adams, Sheherezade N.; Engelhardt, Katharina A. M.",2009,Diversity declines in Microstegium vimineum (Japanese stiltgrass) patches,journal,BIOLOGICAL CONSERVATION,142,5,1003,1010,"The spread of invasive plant species and their impacts on plant communities have received international attention as global trade and global environmental change enhance the colonization and establishment of introduced species and threaten the integrity of native ecosystems. Because introduced species vary in their impact, studying the relationship between invasion and native communities is necessary to guide allocation of finite management resources. By studying adjacent pairs of invaded and uninvaded plots across an eastern United States forested landscape, we demonstrate Microstegium vimineum was associated with local declines in species richness and cover of native species. Negative impacts of M. vimineum on species richness did not emerge until August when M. vimineum cover and height were greatest, highlighting the value of following study subjects through the growing season. In contrast, native species cover was already lower in invaded plots early in the growing season. M. vimineum invasion was not the only important driver of species richness and community composition within the study region: abiotic environmental gradients, such as soil nitrate concentration and pH, across the six study sites were also important in affecting species richness and cover, but lessened in explanatory power through the growing season. We conclude that M. vimineum has effects on community structure that may have long-term consequences for biodiversity. Studies which track sites through time and consider multiple scales are required as invaders impact multiple biotic and abiotic factors operating at different spatial and temporal scales. (C) 2009 Elsevier Ltd. All rights reserved.",Web of Science,Microstegium vimineum,United States,Maryland,Chesapeake and Ohio Canal National Historical Park,39.00131,-77.246418,Field - Experimental;Greenhouse,terrestrial,Deciduous Forest,Impacts;Fundamentals,,,primary
7,"Ahern, Robert G.; Hawthorne, David J.; Raupp, Michael J.",2009,"Founder effects and phenotypic variation in Adelges cooleyi, an insect pest introduced to the eastern United States",journal,BIOLOGICAL INVASIONS,11,4,959,971,"Introduced organisms experience founder effects including genetic bottlenecks that result in significant reductions in genetic variation. Genetic bottlenecks may constrain the evolution of phenotypic traits that facilitate success in novel habitats. We examined the effect of introduction into novel environments on genetic diversity of an insect pest, Adelges cooleyi, which was introduced into the eastern United States during the mid nineteenth century. We compared variation in mitochondrial and nuclear genomes in native and introduced samples to determine the effect of introduction on genetic variation experienced by this insect. We also measured an ecologically important phenotype, variation in host preference, in both native and introduced samples to compare variation in that trait with molecular genetic variation. To further investigate the relationship between genetic and phenotypic variation, we examined the degree to which mtDNA haplotypes provide information about host preference. Adelges cooleyi in eastern North America has significantly reduced genetic and phenotypic variation, but this low variation does not appear to have prevented persistence in a novel environment. Introduced insects appear to have retained host preference phenotypes similar to those of insects found where introductions likely originated.",Web of Science,Adelges cooleyi,,,,,,Lab,,,Invasion Hyp.,Evolution in General,,
13,"Alexander, Jake M.; Edwards, Peter J.; Poll, Myriam; Parks, Catherine G.; Dietz, Hansjoerg",2009,Establishment of parallel altitudinal clines in traits of native and introduced forbs,journal,ECOLOGY,90,3,612,622,"Due to altered ecological and evolutionary contexts, we might expect the responses of alien plants to environmental gradients, as revealed through patterns of trait variation, to differ from those of the same species in their native range. In particular, the spread of alien plant species along such gradients might be limited by their ability to establish clinal patterns of trait variation. We investigated trends in growth and reproductive traits in natural populations of eight invasive Asteraceae forbs along altitudinal gradients in their native and introduced ranges (Valais, Switzerland, and Wallowa Mountains, Oregon, USA). Plants showed similar responses to altitude in both ranges, being generally smaller and having fewer inflorescences but larger seeds at higher altitudes. However, these trends were modified by region-specific effects that were independent of species status ( native or introduced), suggesting that any differential performance of alien species in the introduced range cannot be interpreted without a fully reciprocal approach to test the basis of these differences. Furthermore, we found differences in patterns of resource allocation to capitula among species in the native and the introduced areas. These suggest that the mechanisms underlying trait variation, for example, increasing seed size with altitude, might differ between ranges. The rapid establishment of clinal patterns of trait variation in the new range indicates that the need to respond to altitudinal gradients, possibly by local adaptation, has not limited the ability of these species to invade mountain regions. Studies are now needed to test the underlying mechanisms of altitudinal clines in traits of alien species.",Web of Science,Cirsium arvense;Cirsium vulgare;Cichorium intybus;Lactuca serriola;Conyza canadensis;Erigeron annuus;Matricaria discoidea;Solidago canadensis; Solidago lepida,Switzerland;United States,Valais;Oregon,Central Alps;Wallowa Mountains,46.1667,7.3333,Field - Experimental,terrestrial,Mountain,Fundamentals;Invasion Hyp.,Other,,primary
14,"Alexander, Jake M.; Naylor, Bridgett; Poll, Myriam; Edwards, Peter J.; Dietz, Hansjoerg",2009,Plant invasions along mountain roads: the altitudinal amplitude of alien Asteraceae forbs in their native and introduced ranges,journal,ECOGRAPHY,32,2,334,344,"Studying plant invasions along environmental gradients is a promising approach to dissect the relative importance of multiple interacting factors that affect the spread of a species in a new range. Along altitudinal gradients, factors such as propagule pressure, climatic conditions and biotic interactions change simultaneously across rather small geographic scales. Here we investigate the distribution of eight Asteraceae forbs along mountain roads in both their native and introduced ranges in the Valais (southern Swiss Alps) and the Wallowa Mountains (northeastern Oregon, USA). We hypothesised that a lack of adaptation and more limiting propagule pressure at higher altitudes in the new range restricts the altitudinal distribution of aliens relative to the native range. However, all but one of the species reached the same or even a higher altitude in the new range. Thus neither the need to adapt to changing climatic conditions nor lower propagule pressure at higher altitudes appears to have prevented the altitudinal spread of introduced populations. We found clear differences between regions in the relative occurrence of alien species in ruderal sites compared to roadsides, and in the degree of invasion away from the roadside, presumably reflecting differences in disturbance patterns between regions. Whilst the upper altitudinal limits of these plant invasions are apparently climatically constrained, factors such as anthropogenic disturbance and competition with native vegetation appear to have greater influence than changing climatic conditions on the distribution of these alien species along altitudinal gradients.",Web of Science,Cirsium arvense;Cirsium vulgare;Cichorium intybus;Lactuca serriola;Conyza canadensis;Erigeron annuus;Matricaria discoidea;Solidago canadensis;Solidago lepida,Switzerland;United States,Valais;Oregon,Southern Alps;Wallowa Mountains,46.1667,7.3333,Field - Experimental,terrestrial,Mountain,Fundamentals;Invasion Hyp.,Other,,primary
15,"Alexander, Jake M.; Poll, Myriam; Dietz, Hansjoerg; Edwards, Peter J.",2009,Contrasting patterns of genetic variation and structure in plant invasions of mountains,journal,DIVERSITY AND DISTRIBUTIONS,15,3,502,512,"To assess the population genetic consequences of the colonization of two species with contrasting mating systems, Solidago canadensis and Lactuca serriola, along altitudinal gradients in both their native and introduced ranges. Allegheny Mountains, West Virginia and Wallowa Mountains, Oregon, USA; Valais, southern Switzerland. Leaf material was collected from populations along altitudinal gradients and genotyped at seven microsatellite loci for each species. Differences in variability between native and introduced areas and in relation to altitude were analysed using linear models. Differences in the genetic, geographical and altitudinal structure of populations between areas were analysed by AMOVA, cluster analysis and Mantel tests. Genetic variation within and across populations of S. canadensis was significantly reduced, while populations of L. serriola were significantly more variable, in the introduced area. Genetic diversity decreased significantly with altitude for S. canadensis but not L. serriola. Genetic structure of S. canadensis was similar in both areas, and populations were isolated by geographical but not altitudinal distance. By contrast, population structure of L. serriola was much weaker in the introduced area, and populations were not isolated by distance in either area. Solidago canadensis has experienced a strong genetic bottleneck on introduction to the Valais, but this has not prevented it from colonizing a wide altitudinal range. Variation in neutral markers is therefore not necessarily a good measure for judging the ecological behaviour of a species. By contrast, the greater variability of L. serriola in the introduced area, where it also occurs over a greater altitudinal range, can be explained by increased outcrossing among admixed populations. This suggests that the ecological amplitude of alien species might be enhanced after population admixture in the new range, especially for species with highly structured native populations. However, even genetically depauperate introduced populations can be expected to colonize the same environmental range that they occupy in the native area.",Web of Science,Solidago canadensis;Lactuca serriola,Switzerland;United States;United States,Valais;Oregon;West Virginia,Central Alps;Wallowa Mountains;Allegheny Mountains,46.1667,7.3333,Field - Observational;Lab,terrestrial,Mountain,Invasion Hyp.,Other,,primary
16,"Alford, Ross A.; Brown, Gregory P.; Schwarzkopf, Lin; Phillips, Benjamin L.; Shine, Richard",2009,Comparisons through time and space suggest rapid evolution of dispersal behaviour in an invasive species,journal,WILDLIFE RESEARCH,36,1,23,28,"During a biological invasion, we expect that the expanding front will increasingly become dominated by individuals with better dispersal abilities. Over many generations, selection at the invasion front thus will favour traits that increase dispersal rates. As a result of this process, cane toads (Bufo marinus) are now spreading through tropical Australia about 5-fold faster than in the early years of toad invasion; but how have toads changed to make this happen? Here we present data from radio-tracking of free-ranging cane toads from three populations (spanning a 15-year period of the toads' Australian invasion, and across 1800 km). Our data reveal dramatic shifts in behavioural traits (proportion of nights when toads move from their existing retreat-site to a new one, and distance between those successive retreat-sites) associated with the rapid acceleration of toad invasion. Over a maximum period of 70 years (similar to 50 generations), cane toads at the invasion front in Australia apparently have evolved such that populations include a higher proportion of individuals that make long, straight moves.",Web of Science,Bufo marinus,Australia,Queensland,,-22.16,142.01,Field - Observational,terrestrial,Tropical Forest,Invasion Hyp.,Evolution in General;Inherent Superiority,Effective Disperser,omnivore
17,"Allan, Eric; Pannell, John R.",2009,"Rapid divergence in physiological and life-history traits between northern and southern populations of the British introduced neo-species, Senecio squalidus",journal,OIKOS,118,7,1053,1061,,Web of Science,Senecio squalidus,Great Britain;Great Britain,,Oxford;Edinburg,55.93;51.74,-3.20;-1.26,Field - Experimental;Greenhouse;Garden,marine,Urban;Old Field,Invasion Hyp.,Evolution in General;Other,,primary
