abbreviation,taxon,common_name
4LP,,4-leaved polygonum
ACPL,Acer platanoides,Norway maple
ACRU,Acer rubrum,Red Maple
ACSA,Acer saccharum,Sugar Maple
AIAL,Ailanthus altissima,Ailanthus
ALAL,Alliaria alliaria,Garlic mustard
AMBR,Ampelopis brevipedunculata,Porcelain berry
ARUV,Arctostaphylos uva-ursi,Bearberry
ASDI,Aster divaricatus,White wood aster
ASTR,Arisaema triphyllum,Jack-in-the-pulpit
BEAL,Betula alleghaniensis,Yellow Birch
BENI,Betula nigra,Black birch
BEVU,Berberis vulgaris,barberry
CAPA,Carya pallida,Hickory
CEOR,Celastrus orbiculatus,Bittersweet
CHMA,Chimaphila maculata,White-Striped wintergreen
CIQU,Circaea quadrisulcata,Enchanter's nightshade
CLAL,Clethra alnifolia,Summersweet
COFL,Cornus florida,Dogwood
COJA,Commelina japonica,Commelina
COPE,Comptonia peregrina,Sweet Fern
DEPU,Dennstaedtia punctilobula,Hayscented fern; dennstaedia
ELAN,Eleagnus angustifolia,Russian olive
EUAT,Euonymus atropurpureus,Euonymus
FAXX,,Beech
FRXX,Fragaria sp.,Strawberry
GAAS,Galium asprellum,Bedstraw
GABA,Gaylussacia baccata,Huckleberry
GAPR,Gaultheria procumbens,"Green, round true wintergreen"
HAVI,Hamamelis virginiana,Witch Hazel
ILAQ,Ilex aquifolium,Holly
IMCA,Impatiens capensis,Jewelweed
JUVI,Juniperus virginiana,Cedar/Juniper
LIBE,Lindera benzoin,Spicebush
LITU,Liriodendron tulipifera,Tulip tree
LOJA,Lonicera japonica,Japanese Honeysuckle
LOMA,Lonicera mackii,Bush Honeysuckle
LYMA,Lyonia mariana,Staggerbush
MOAL,Morus alba,Mulberry
MYCA,Myrica carolinensis,Bayberry
PAQU,Parthenocissus quinquefolia,Virginia Creeper
PIAL,Pinus alba,White pine
PIRI,Pinus rigida,Pitch pine
POAC,Polystichum acrostichoides,Christmas Fern
POPE,Polygonum persicaria,spotted lady's thumb
PRSE,Prunus serotina,Cherry
PTAQ,Pteridium aquilinum,Bracken fern
QUAL,Quecus alba,White oak
QUIL,Quercus ilicifolia,Scrub oak
QUNI,Quercus nigrum,Black Oak
QUPR,Quercus prinus,Chestnut Oak
QURU,Quercus rubrum,Red Oak
QUVE,Quercus velutina,Scarlet oak
RHTO,Rhus toxicodendron,Poison Ivy
ROMU,Rosa multiflora,Multiflora rose
ROPS,Robinia pseudoacacia,Black Locust
RUPR,Rubus procumbens,Rubus 
RUST,Rubus strigosus,Raspberry
SAAL,Sassafras albidum,Sassafras
SMGL,Smilax glauca,Catbriar
SMRA,Smilacena racemosa,False solomon's seal
SONE,Solidago nemoralis,Goldenrod
SLSS,Polygonatum sp.,single-leaved Solomon's seal
TACA,Taxus canadensis,Taxus
TAOF,Taraxacum officinale,Dandelion
TSCA,Tsuga canadensis,Hemlock
VAAN,Vaccinium angustifolium,Blueberry
VIAC,Viburnum acerifolium,Maple-leaved viburnum
VIDE,Viburnum dentatum,Toothed viburnum
VIVU,Vitis vulpina,Grape
WINT,,Wintergreen (plain)
