date,time,channel_id,habitat_type,visibility_ft,depth_ft,distance_to_bank_ft,distance_to_cover_ft,cover_type,overhead,unembedded_cobble,distance to cobble_ft,velocity_fps,substrate,fish_type,fish_size,fish_number,comments
3/2/2020,10:04:04am,Anderson River Park,Pool,10,1.4,5.4,1.2,Branches - Small Woody Debris,No,Yes,2.5,0.2,Sand,Spring Run Chinook,51-60mm,3,NA
3/2/2020,10:09:02am,Anderson River Park,Pool,10,1.4,5.4,1.2,Branches - Small Woody Debris,No,Yes,2.5,0.2,Sand,Fall Run Chinook,41-50mm,2,NA
3/2/2020,10:10:31am,Anderson River Park,Pool,10,0.35,2.7,0,Aquatic Veg,No,Yes,3.3,0,Mud/Organic,Spring Run Chinook,61-80mm,10,NA
3/2/2020,10:15:02am,Anderson River Park,Pool,10,1.35,2.7,0,Aquatic Veg,No,Yes,3.3,0,Mud/Organic,Fall Run Chinook,41-50mm,8,NA
3/2/2020,10:21:06am,Anderson River Park,Pool,10,0.35,2.7,0,Aquatic Veg,No,Yes,3.3,0,Mud/Organic,Fall Run Chinook,51-60mm,12,NA
3/2/2020,10:24:47am,Anderson River Park,Pool,10,2.1,3.2,0,Cobble,No,Yes,0,0.7,Cobble,Spring Run Chinook,61-80mm,1,NA
3/2/2020,10:28:33am,Anderson River Park,Pool,10,1.75,4.8,0,Branches - Small Woody Debris,No,Yes,1.1,0.2,Gravel,Spring Run Chinook,61-80mm,60,NA
3/2/2020,10:32:31am,Anderson River Park,Pool,10,1.7,4.8,0,Branches - Small Woody Debris,No,Yes,1.1,0.2,Gravel,Fall Run Chinook,51-60mm,25,NA
3/2/2020,10:36:12am,Anderson River Park,Pool,10,1.7,4.8,0,Branches - Small Woody Debris,No,Yes,1.8,0.2,Gravel,Fall Run Chinook,41-50mm,10,NA
3/2/2020,10:41:23am,Anderson River Park,Riffle,10,0.5,2.1,0.5,Branches - Small Woody Debris,No,Yes,0.5,0.4,Gravel,Fall Run Chinook,51-60mm,10,NA
3/2/2020,10:45:15am,Anderson River Park,Riffle,10,0.65,3.1,0.8,Branches - Small Woody Debris,Yes,Yes,2,0,Cobble,Spring Run Chinook,61-80mm,15,NA
3/2/2020,10:48:02am,Anderson River Park,Riffle,10,0.65,3.1,0.5,Branches - Small Woody Debris,Yes,Yes,0.8,0,Cobble,Fall Run Chinook,51-60mm,30,NA
3/2/2020,10:50:07am,Anderson River Park,Riffle,10,0.65,3.1,0.5,Branches - Small Woody Debris,Yes,Yes,0.8,0,Cobble,Fall Run Chinook,41-50mm,15,NA
3/2/2020,10:51:36am,Anderson River Park,Riffle,10,0.7,2.2,0,Fine Woody Debris,No,Yes,0,0.3,Cobble,Spring Run Chinook,61-80mm,10,NA
3/2/2020,10:53:31am,Anderson River Park,Riffle,10,0.7,2.2,0,Fine Woody Debris,No,Yes,0,0.3,Cobble,Fall Run Chinook,51-60mm,15,NA
3/2/2020,10:55:04am,Anderson River Park,Riffle,10,0.7,2.2,0,Fine Woody Debris,No,Yes,0,0.3,Cobble,Fall Run Chinook,41-50mm,10,NA
3/2/2020,10:57:22am,Anderson River Park,Riffle,10,0.7,2.1,0,Cobble,No,Yes,0,0.8,Cobble,Fall Run Chinook,51-60mm,1,NA
4/8/2020,10:17:45am,Anderson River Park,Pool,8,0.5,5,1.8,Branches - Small Woody Debris,No,Yes,2,0.8,Gravel,Fall Run Chinook,41-50mm,4,NA
4/8/2020,11:00:28am,Anderson River Park,Pool,8,0.5,3.5,2,Fine Woody Debris,Yes,Yes,1.8,0,Gravel,Rainbow Trout/Steelhead,<41mm,3,NA
4/8/2020,11:03:03am,Anderson River Park,Pool,8,0.5,3.5,2,Fine Woody Debris,Yes,Yes,1.8,0,Gravel,Rainbow Trout/Steelhead,41-50mm,3,NA
4/8/2020,11:04:33am,Anderson River Park,Pool,8,0.3,5,0,Branches - Small Woody Debris,No,Yes,0.6,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,1,NA
4/8/2020,11:06:00am,Anderson River Park,Pool,8,1.3,10.1,0,Fine Woody Debris,No,Yes,1,0,Sand,Rainbow Trout/Steelhead,51-60mm,1,NA
4/8/2020,11:09:07am,Anderson River Park,Pool,8,1.3,10.1,0,Fine Woody Debris,No,Yes,1,0,Sand,Rainbow Trout/Steelhead,41-50mm,3,NA
4/8/2020,11:11:00am,Anderson River Park,Pool,8,0.8,9.4,0,Fine Woody Debris,No,Yes,1.5,0,Gravel,Rainbow Trout/Steelhead,41-50mm,2,NA
4/8/2020,11:14:40am,Anderson River Park,Flatwater,8,0.1,0.4,0,Cobble,No,Yes,0,0,Sand,Rainbow Trout/Steelhead,<41mm,1,NA
4/8/2020,11:21:16am,Anderson River Park,Riffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fish found
3/26/2018,NA,Bourbon Control,Pool,10,1.2,1.799999952,0,Fine Woody Debris,NA,Yes,3.4,0.2,Gravel,Winter Run Chinook,61-80mm,1,NA
3/26/2018,NA,Bourbon Control,Riffle,10,0.8,2,0,Branches - Small Woody Debris,NA,Yes,0,0.79,Cobble,Fall Run Chinook,51-60mm,1,NA
3/26/2018,NA,Bourbon Control,Riffle,10,1,10.19999981,5.900000095,Fine Woody Debris,NA,Yes,3.5,0.94,Gravel,Fall Run Chinook,41-50mm,8,NA
3/26/2018,NA,Bourbon Control,Riffle,10,1,10.19999981,5.900000095,Fine Woody Debris,NA,Yes,3.5,0.94,Gravel,Fall Run Chinook,51-60mm,8,NA
3/26/2018,NA,Bourbon Control,Pool,10,2,8.600000381,4.900000095,Branches - Small Woody Debris,NA,Yes,0,1.49,Cobble,Rainbow Trout/Steelhead,121-140mm,2,NA
3/26/2018,NA,Bourbon Control,Pool,10,2,8.600000381,4.800000191,Branches - Small Woody Debris,NA,Yes,0,1.49,Cobble,Fall Run Chinook,51-60mm,4,NA
3/26/2018,NA,Bourbon Control,Pool,10,2,8.600000381,4.900000095,Branches - Small Woody Debris,NA,Yes,0,1.49,Cobble,Rainbow Trout/Steelhead,81-100mm,2,NA
3/26/2018,NA,Bourbon Control,Riffle,10,0.9,9.800000191,0,Cobble,NA,Yes,0,1.66,Cobble,Winter Run Chinook,61-80mm,2,NA
3/28/2018,NA,Bourbon Control,Flatwater,10,0.5,1.399999976,3.200000048,Branches - Small Woody Debris,NA,Yes,0,0.4,Cobble,Fall Run Chinook,<41mm,2,NA
3/28/2018,NA,Bourbon Control,Flatwater,10,1.3,11.30000019,1,Branches - Small Woody Debris,NA,No,0,0.42,Sand,Fall Run Chinook,<41mm,1,NA
3/28/2018,NA,Bourbon Control,Flatwater,10,1.1,3.700000048,1.299999952,Branches - Small Woody Debris,NA,No,0,0.42,Sand,Fall Run Chinook,<41mm,1,NA
3/28/2018,NA,Bourbon Control,Flatwater,10,1.1,11.10000038,4.5,Branches - Small Woody Debris,NA,Yes,3.5,1.29,Gravel,Fall Run Chinook,51-60mm,1,NA
4/26/2018,NA,Bourbon Control,Pool,10,1.66,8.75,0,Branches - Small Woody Debris,NA,Yes,5.33,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,3,NA
4/26/2018,NA,Bourbon Control,Riffle,10,0.82,6.25,0,Fine Woody Debris,NA,Yes,3.25,0.2,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,4,NA
4/26/2018,NA,Bourbon Control,Pool,10,1.16,3.329999924,0,Aquatic Veg,NA,No,0,0.47,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,1,NA
4/26/2018,NA,Bourbon Control,Pool,10,0.92,4.5,0,Branches - Small Woody Debris,NA,Yes,2,0.58,Gravel,Rainbow Trout/Steelhead,<41mm,3,NA
4/26/2018,NA,Bourbon Control,Pool,10,0.92,4.5,0,Branches - Small Woody Debris,NA,Yes,2,0.58,Gravel,Rainbow Trout/Steelhead,41-50mm,1,NA
4/26/2018,NA,Bourbon Control,Flatwater,10,1,21.5,0,Branches - Small Woody Debris,NA,No,0,0.6,Gravel,Rainbow Trout/Steelhead,61-80mm,4,NA
4/26/2018,NA,Bourbon Control,Riffle,10,1.08,1.659999967,0,Branches - Small Woody Debris,NA,Yes,1.25,0.66,Gravel,Rainbow Trout/Steelhead,<41mm,1,NA
4/26/2018,NA,Bourbon Control,Riffle,10,1.08,1.659999967,0,Branches - Small Woody Debris,NA,Yes,1.25,0.66,Gravel,Rainbow Trout/Steelhead,51-60mm,5,NA
4/26/2018,NA,Bourbon Control,Flatwater,10,1.82,11.69999981,0,Branches - Small Woody Debris,NA,No,0,0.7,Sand,Winter Run Chinook,101-120mm,4,NA
4/26/2018,NA,Bourbon Control,Flatwater,10,1.82,11.69999981,0,Branches - Small Woody Debris,NA,No,0,0.7,Sand,Fall Run Chinook,61-80mm,4,NA
4/26/2018,NA,Bourbon Control,Flatwater,10,1.82,11.69999981,0,Branches - Small Woody Debris,NA,No,0,0.7,Sand,Rainbow Trout/Steelhead,61-80mm,6,NA
4/26/2018,NA,Bourbon Control,Flatwater,10,1.5,22.5,0,Large Woody Debris,NA,No,0,1.1,Gravel,Rainbow Trout/Steelhead,61-80mm,1,NA
4/26/2018,NA,Bourbon Control,Riffle,10,0.66,4.659999847,0,Fine Woody Debris,NA,Yes,1,1.5,Gravel,Rainbow Trout/Steelhead,<41mm,2,NA
4/26/2018,NA,Bourbon Control,Riffle,10,0.82,1.5,0,Cobble,NA,Yes,0,1.7,Cobble,Fall Run Chinook,<41mm,3,NA
4/26/2018,NA,Bourbon Control,Riffle,10,0.82,1.5,0,Cobble,NA,Yes,0,1.7,Cobble,Fall Run Chinook,51-60mm,1,NA
5/24/2018,NA,Bourbon Control,Pool,12,1.42,4.5,1.080000043,Aquatic Veg,NA,No,0,0,Mud/Organic,Late Fall Run Run Chinook,41-50mm,1,NA
5/24/2018,NA,Bourbon Control,Riffle,12,0.58,2,0,Branches - Small Woody Debris,NA,No,0,0,Mud/Organic,Late Fall Run Run Chinook,41-50mm,1,NA
5/24/2018,NA,Bourbon Control,Pool,12,1.2,2.420000076,0,Large Woody Debris,NA,No,0,0.2,Sand,Fall Run Chinook,61-80mm,4,NA
5/24/2018,NA,Bourbon Control,Pool,12,1.2,2.420000076,0,Large Woody Debris,NA,No,0,0.2,Sand,Fall Run Chinook,81-100mm,4,NA
5/24/2018,NA,Bourbon Control,Pool,12,1.2,2.420000076,0,Large Woody Debris,NA,No,0,0.2,Sand,Rainbow Trout/Steelhead,81-100mm,4,NA
5/24/2018,NA,Bourbon Control,Riffle,12,0.92,2.079999924,1.5,Branches - Small Woody Debris,NA,Yes,0,0.21,Cobble,Fall Run Chinook,61-80mm,2,NA
5/24/2018,NA,Bourbon Control,Riffle,12,0.66,2,0,Fine Woody Debris,NA,No,0,0.24,Sand,Rainbow Trout/Steelhead,81-100mm,3,NA
5/24/2018,NA,Bourbon Control,Riffle,12,1,4.159999847,0,Fine Woody Debris,NA,Yes,0,0.6,Cobble,Fall Run Chinook,61-80mm,3,NA
5/24/2018,NA,Bourbon Control,Riffle,12,1,4.159999847,0,Fine Woody Debris,NA,Yes,0,0.6,Cobble,Fall Run Chinook,81-100mm,3,NA
5/24/2018,NA,Bourbon Control,Riffle,12,1.08,4.329999924,0,Branches - Small Woody Debris,NA,No,0,0.65,Sand,Fall Run Chinook,81-100mm,22,NA
5/24/2018,NA,Bourbon Control,Pool,12,3.04,9.319999695,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Fall Run Chinook,101-120mm,15,NA
5/24/2018,NA,Bourbon Control,Pool,12,3.04,9.319999695,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Rainbow Trout/Steelhead,101-120mm,3,NA
