location_type,habitat_type,fish_type,fork_length_mm,weight_g,condition_factor,date,side_channel,control_impact,channel_status
Mainstem,Down Mainstem,FR,31,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Up Mainstem,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Up Mainstem,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Up Mainstem,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Up Mainstem,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,36,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,37,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,37,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,FR,37,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,38,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,41,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,42,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,44,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,44,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,46,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,48,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,48,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,49,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,49,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,SR,49,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
