date,site_number,site_name,length_meters,river_mile,treatment,time,water_elevation,weather,water_temp,visibility_feet,visibility_meters,survey_method,video_or_observer,lfr_count,wr_count,sr_count,fr_count,trout_count,adult_predator_fish,other_juvenile_fish,comments,calculated_flow
2020-02-06T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T09:30:00Z,NA,1,50,4,1.2191405059433098,Snorkel Downstream,Observer,0,0,0,0,0,0,0,no fish,3982
2020-02-18T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T11:00:00Z,NA,1,50,2,0.6095702529716549,Snorkel Downstream,Observer,0,0,0,0,0,0,0,NA,3838
2020-03-03T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T12:40:00Z,NA,1,62.6,10,3.047851264858275,Snorkel Downstream,Observer,0,0,0,240,0,0,0,NA,5551
2020-04-01T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T11:40:00Z,NA,1,49,6,1.828710758914965,Snorkel Downstream,Observer,0,0,0,0,0,0,0,"secchi 6 ft, fish vis= 4 ft",5178
2020-04-20T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T11:45:00Z,NA,2,58,8,2.4382810118866196,Snorkel Downstream,Observer,0,0,0,0,0,0,1705,"1700 larval juveniles, 5 SACSUC",7534
2020-04-20T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T11:45:00Z,NA,2,58,8,2.4382810118866196,Snorkel Downstream,Observer,0,0,0,0,0,0,1705,"1700 Larval Fish, 5 Suckers",7534
2020-05-12T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T11:15:00Z,NA,3,50,6,1.828710758914965,Snorkel Downstream,Observer,0,0,0,0,0,0,0,NA,9813
2020-05-27T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T11:52:00Z,NA,1,59,10,3.047851264858275,Snorkel Downstream,Observer,0,0,0,0,0,5,1505,"3 HH, 2 sacsuc, 1 otter, 1500 minnows",9447
2020-06-18T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T10:23:00Z,NA,1,57,5,1.5239256324291375,Snorkel Downstream,Observer,0,0,0,0,0,0,0,NA,11818
2020-07-02T00:00:00Z,228,East Sand Slough (BOTTOM),220,243,Baseline,1899-12-31T09:30:00Z,NA,1,56,6,1.828710758914965,Snorkel Downstream,Observer,0,0,0,0,0,0,0,NA,12726
2020-02-04T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T13:27:00Z,NA,1,49,3,0.9143553794574825,Snorkel Downstream,Observer,0,0,0,0,0,0,0,1SS,4565
2020-02-18T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T10:15:00Z,NA,1,50,4.5,1.3715330691862238,Snorkel Downstream,Observer,0,0,0,0,0,0,0,NA,3867
2020-03-03T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T13:20:00Z,NA,1,62.6,10,3.047851264858275,Snorkel Downstream,Observer,0,0,0,0,0,0,0,NA,5562
2020-04-01T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T10:45:00Z,NA,1,49,6,1.828710758914965,Snorkel Downstream,Observer,0,0,0,0,0,0,0,"secchi 6 ft, fish visibility = 4ft",5211
2020-04-20T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T13:30:00Z,NA,2,58,5,1.5239256324291375,Snorkel Downstream,Observer,0,0,0,0,0,0,16,"16 larval juveniles, 1 adult SACSUC",7480
2020-04-20T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T13:30:00Z,NA,2,58,5,1.5239256324291375,Snorkel Downstream,Observer,0,0,0,0,0,0,17,"16 Cyprinidae, 1 Sucker",7480
2020-05-12T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T10:30:00Z,NA,3,52.6,10,3.047851264858275,Snorkel Downstream,Observer,0,0,0,0,0,0,340,"20-SS, 20-CYP, 300-larval fish",9890
2020-05-27T00:00:00Z,227,East Sand Slough (TOP),122,246,Baseline,1899-12-31T13:00:00Z,NA,1,59,6,1.828710758914965,Snorkel Downstream,Observer,0,0,0,0,0,0,220,"20 sacsuc, 200 minnows",9281
